Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4a. Reported Voting and Registration of the Total Voting-Age Population, by Sex, Race and Hispanic Origin, for States: November 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State, sex, race, and Hispanic origin",Population 18 and over,Total  ,Percent citizen (18+),Margin of error1,Total  ,Percent registered (18+),Margin of error1,Total  ,Percent voted (18+),Margin of error1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,"1,289","1,280",99.3,0.8,926,71.8,4.4,860,66.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,283,204,72.1,9.9,102,36.0,10.6,78,27.6,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"4,536","4,435",97.8,0.6,"3,031",66.8,1.9,"2,598",57.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"2,182","2,132",97.7,0.9,"1,473",67.5,2.7,"1,247",57.1,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"2,354","2,303",97.8,0.8,"1,558",66.2,2.6,"1,351",57.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"4,088","3,999",97.8,0.6,"2,755",67.4,2.0,"2,364",57.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"3,905","3,881",99.4,0.3,"2,698",69.1,2.0,"2,323",59.5,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,368,368,100.0,-,229,62.3,8.3,198,53.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,22,10,(B),(B),5,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),182,118,64.8,15.1,57,31.5,14.6,41,22.6,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"4,133","4,044",97.8,0.6,"2,784",67.4,2.0,"2,386",57.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"3,950","3,926",99.4,0.3,"2,726",69.0,2.0,"2,344",59.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,376,376,100.0,-,233,62.0,8.2,202,53.7,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,22,10,(B),(B),5,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"2,212","2,136",96.6,0.8,"1,674",75.7,1.8,"1,522",68.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,073","1,034",96.4,1.2,788,73.5,2.7,708,66.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,139","1,102",96.8,1.1,886,77.8,2.5,814,71.5,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"2,120","2,061",97.2,0.7,"1,620",76.4,1.9,"1,473",69.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"2,052","2,038",99.3,0.4,"1,608",78.4,1.8,"1,463",71.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,37,36,(B),(B),24,(B),(B),23,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,27,15,(B),(B),11,(B),(B),11,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),69,24,(B),(B),13,(B),(B),12,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"2,136","2,077",97.3,0.7,"1,634",76.5,1.8,"1,484",69.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,068","2,055",99.3,0.4,"1,622",78.5,1.8,"1,474",71.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,41,40,(B),(B),28,(B),(B),26,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,30,18,(B),(B),12,(B),(B),11,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,990","1,851",93.1,1.1,"1,338",67.2,2.1,"1,188",59.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,970,896,92.4,1.7,633,65.3,3.0,554,57.1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,019",955,93.7,1.5,704,69.1,2.8,633,62.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"1,768","1,671",94.5,1.1,"1,224",69.2,2.1,"1,101",62.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"1,649","1,624",98.5,0.6,"1,198",72.7,2.1,"1,076",65.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,99,97,(B),(B),64,(B),(B),53,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,73,34,(B),(B),14,(B),(B),11,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),132,55,41.6,13.2,30,22.7,11.2,28,21.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"1,803","1,706",94.6,1.0,"1,250",69.3,2.1,"1,117",62.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"1,682","1,657",98.5,0.6,"1,223",72.7,2.1,"1,091",64.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,102,100,98.3,3.0,66,64.3,11.2,54,52.6,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,73,34,(B),(B),14,(B),(B),11,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
KENTUCKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"3,042","2,969",97.6,0.7,"2,231",73.3,2.1,"1,930",63.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,454","1,407",96.8,1.2,"1,039",71.5,3.0,884,60.8,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,588","1,562",98.4,0.8,"1,192",75.1,2.8,"1,046",65.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"2,775","2,729",98.4,0.6,"2,041",73.6,2.2,"1,765",63.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"2,736","2,709",99.0,0.5,"2,024",74.0,2.2,"1,749",63.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,204,198,97.2,3.6,158,77.3,9.1,140,68.5,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,27,6,(B),(B),6,(B),(B),6,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),44,20,(B),(B),18,(B),(B),16,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"2,799","2,754",98.4,0.6,"2,061",73.6,2.1,"1,778",63.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,760","2,733",99.0,0.5,"2,044",74.0,2.1,"1,763",63.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,205,200,97.2,3.6,158,76.8,9.2,140,68.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,27,6,(B),(B),6,(B),(B),6,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
LOUISIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"3,277","3,218",98.2,0.7,"2,413",73.6,2.2,"2,067",63.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,528","1,502",98.3,1.0,"1,132",74.1,3.2,963,63.0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,749","1,716",98.1,0.9,"1,281",73.2,3.1,"1,104",63.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"2,260","2,210",97.8,0.9,"1,697",75.1,2.6,"1,446",64.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"2,191","2,180",99.5,0.4,"1,678",76.6,2.6,"1,430",65.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,976,966,99.0,1.1,693,71.1,5.1,606,62.1,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,8,8,(B),(B),2,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),68,30,(B),(B),19,(B),(B),16,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"2,272","2,223",97.8,0.9,"1,709",75.2,2.6,"1,453",64.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,204","2,193",99.5,0.4,"1,690",76.7,2.6,"1,437",65.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,985,976,99.0,1.1,703,71.3,5.0,613,62.2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,8,8,(B),(B),2,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
MAINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,022","1,007",98.5,0.5,824,80.6,1.6,736,72.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,493,484,98.2,0.8,390,79.0,2.4,346,70.2,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,529,523,98.9,0.6,434,82.1,2.2,390,73.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,990,977,98.7,0.5,799,80.7,1.6,714,72.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,984,970,98.7,0.5,793,80.6,1.6,708,72.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,8,8,(B),(B),6,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,9,7,(B),(B),6,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),9,9,(B),(B),7,(B),(B),7,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"1,002",989,98.7,0.5,809,80.8,1.6,723,72.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,995,982,98.7,0.5,803,80.7,1.6,717,72.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,8,8,(B),(B),6,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,9,8,(B),(B),6,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
MARYLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"4,043","3,678",91.0,1.2,"2,676",66.2,2.0,"2,413",59.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,906","1,699",89.2,1.9,"1,221",64.1,3.0,"1,112",58.3,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"2,137","1,978",92.6,1.5,"1,454",68.1,2.7,"1,301",60.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"2,737","2,529",92.4,1.4,"1,913",69.9,2.4,"1,733",63.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"2,504","2,449",97.8,0.8,"1,868",74.6,2.4,"1,689",67.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,"1,070",990,92.6,2.6,668,62.4,4.9,598,55.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,168,104,61.6,12.9,52,30.7,12.2,50,29.8,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),282,100,35.4,12.2,58,20.6,10.3,53,19.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"2,777","2,557",92.1,1.4,"1,934",69.7,2.4,"1,750",63.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"2,531","2,476",97.8,0.8,"1,889",74.6,2.4,"1,706",67.4,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,"1,094","1,002",91.6,2.8,676,61.8,4.8,604,55.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,172,107,62.4,12.7,55,32.1,12.3,53,30.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,
MASSACHUSETTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"4,840","4,497",92.9,1.0,"3,483",72.0,1.8,"3,085",63.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"2,299","2,115",92.0,1.5,"1,641",71.4,2.6,"1,429",62.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"2,541","2,382",93.7,1.3,"1,842",72.5,2.4,"1,656",65.2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"4,297","4,049",94.2,1.0,"3,234",75.3,1.8,"2,880",67.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"4,046","3,896",96.3,0.8,"3,131",77.4,1.8,"2,807",69.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,292,273,93.5,4.8,148,50.7,9.6,127,43.5,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,199,128,64.1,11.7,76,38.2,11.8,59,29.4,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),323,212,65.7,11.3,140,43.5,11.8,106,32.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"4,318","4,065",94.2,1.0,"3,249",75.2,1.8,"2,894",67.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"4,066","3,913",96.2,0.8,"3,145",77.4,1.8,"2,822",69.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,292,273,93.5,4.8,148,50.7,9.6,127,43.5,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,210,138,65.9,11.3,85,40.3,11.7,67,32.0,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"7,452","7,177",96.3,0.6,"5,364",72.0,1.5,"4,818",64.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"3,604","3,451",95.7,1.0,"2,519",69.9,2.2,"2,261",62.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"3,848","3,726",96.8,0.8,"2,845",73.9,2.0,"2,558",66.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"6,163","6,023",97.7,0.5,"4,526",73.4,1.6,"4,083",66.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"5,984","5,895",98.5,0.5,"4,462",74.6,1.6,"4,021",67.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,957,928,97.0,1.9,676,70.7,5.2,599,62.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,173,73,42.3,13.7,41,23.7,11.8,37,21.2,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),201,144,71.3,14.5,73,36.5,15.4,71,35.5,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"6,230","6,090",97.8,0.5,"4,582",73.5,1.6,"4,128",66.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"6,051","5,962",98.5,0.4,"4,517",74.7,1.6,"4,066",67.2,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,968,940,97.1,1.9,686,70.9,5.1,609,62.9,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,180,80,44.6,13.5,48,26.7,12.0,44,24.2,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,
MINNESOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"3,766","3,645",96.8,0.7,"3,080",81.8,1.6,"2,887",76.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"1,858","1,792",96.5,1.1,"1,471",79.2,2.4,"1,374",74.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,908","1,853",97.1,1.0,"1,608",84.3,2.1,"1,513",79.3,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"3,435","3,377",98.3,0.6,"2,884",83.9,1.6,"2,703",78.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"3,333","3,307",99.2,0.4,"2,835",85.0,1.6,"2,658",79.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,128,107,83.3,10.1,83,64.7,13.0,83,64.7,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,137,96,70.0,12.6,69,50.4,13.7,56,41.1,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),108,73,68.0,17.9,53,48.9,19.2,49,45.6,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"3,469","3,410",98.3,0.6,"2,908",83.8,1.6,"2,728",78.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"3,367","3,341",99.2,0.4,"2,860",84.9,1.6,"2,683",79.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,136,115,84.3,9.6,91,66.8,12.4,91,66.8,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,142,101,71.1,12.2,72,50.5,13.5,59,41.6,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSISSIPPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"2,081","2,049",98.4,0.7,"1,510",72.5,2.4,"1,263",60.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,972,954,98.2,1.0,677,69.6,3.6,538,55.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"1,109","1,094",98.7,0.8,833,75.1,3.1,725,65.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"1,335","1,310",98.1,0.9,965,72.3,3.0,786,58.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"1,288","1,285",99.7,0.4,949,73.6,3.0,773,60.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,698,698,100.0,-,531,76.1,4.7,466,66.8,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,8,-,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),46,25,(B),(B),16,(B),(B),12,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"1,353","1,328",98.2,0.9,974,72.0,2.9,795,58.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"1,306","1,302",99.7,0.4,958,73.3,3.0,782,59.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,700,700,100.0,-,533,76.2,4.7,466,66.6,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,8,-,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
MISSOURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"4,243","4,106",96.8,0.8,"3,336",78.6,1.8,"2,815",66.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,"2,023","1,933",95.6,1.3,"1,540",76.1,2.7,"1,299",64.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,"2,219","2,173",97.9,0.9,"1,796",80.9,2.4,"1,516",68.3,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"3,636","3,538",97.3,0.8,"2,865",78.8,1.9,"2,424",66.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"3,544","3,483",98.3,0.6,"2,822",79.6,1.9,"2,393",67.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,433,433,100.0,-,382,88.2,5.3,324,74.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,55,27,(B),(B),13,(B),(B),13,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),115,68,58.8,20.3,50,43.3,20.5,35,30.1,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"3,702","3,604",97.4,0.7,"2,917",78.8,1.9,"2,468",66.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"3,610","3,549",98.3,0.6,"2,874",79.6,1.9,"2,437",67.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,455,455,100.0,-,399,87.6,5.3,335,73.6,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,57,29,(B),(B),15,(B),(B),15,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
MONTANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,690,687,99.6,0.3,519,75.1,2.2,482,69.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,339,338,99.8,0.4,252,74.5,3.2,231,68.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,352,350,99.4,0.6,266,75.7,3.1,252,71.6,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,647,646,99.8,0.2,493,76.1,2.3,461,71.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,637,636,99.8,0.3,486,76.3,2.3,456,71.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,-,-,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,3,1,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),12,12,(B),(B),6,(B),(B),5,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,657,655,99.8,0.2,498,75.9,2.3,465,70.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,646,645,99.8,0.2,492,76.1,2.3,460,71.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,-,-,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,4,2,(B),(B),-,(B),(B),-,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
NEBRASKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,294","1,215",93.9,1.1,918,70.9,2.1,793,61.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,628,585,93.2,1.7,431,68.7,3.0,367,58.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,667,630,94.5,1.4,487,73.0,2.8,426,64.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"1,181","1,127",95.4,1.0,865,73.3,2.1,755,63.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"1,089","1,084",99.6,0.3,845,77.6,2.1,741,68.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,51,47,(B),(B),31,(B),(B),21,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,16,7,(B),(B),2,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),119,56,47.2,11.8,27,23.0,10.0,19,16.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"1,198","1,143",95.4,1.0,877,73.2,2.1,762,63.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"1,103","1,099",99.6,0.3,854,77.4,2.1,748,67.8,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,53,49,(B),(B),31,(B),(B),21,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,16,7,(B),(B),2,(B),(B),2,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
NEVADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,"1,699","1,477",87.0,1.4,965,56.8,2.0,871,51.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,856,743,86.8,1.9,471,55.0,2.8,421,49.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,842,734,87.1,1.9,494,58.7,2.8,450,53.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,"1,445","1,260",87.2,1.5,844,58.4,2.2,763,52.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone,"1,168","1,123",96.1,0.9,770,65.9,2.3,696,59.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone,113,108,95.7,3.8,61,54.1,9.5,56,49.6,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone,84,64,(B),(B),31,(B),(B),29,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
.Hispanic (of any race),301,151,50.2,7.6,83,27.6,6.8,72,23.8,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone or in combination,"1,465","1,280",87.4,1.4,859,58.7,2.1,775,52.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
..White non-Hispanic alone or in combination,"1,182","1,137",96.2,0.9,780,66.0,2.3,705,59.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
.Black alone or in combination ,122,117,96.0,3.6,69,56.8,9.1,63,52.0,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,
.Asian alone or in combination,88,68,(B),(B),35,(B),(B),32,(B),(B),,,,,,,,,,,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Total,982,948,96.5,0.8,716,72.9,1.9,677,68.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
.Male,479,461,96.1,1.2,341,71.2,2.7,320,66.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
.Female,503,487,96.8,1.0,375,74.6,2.6,358,71.1,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
.White alone,943,922,97.7,0.6,699,74.1,1.9,663,70.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
