STATE,Population  18 and over,Total   citizen,Percent   citizen,Standard      error,Total   registered,Percent   registered,Standard      error,Total    voted,Percent     voted,Standard     error,,,,,
N-H API,82,39,(B),(B),15,(B),(B),8,(B),(B),,,,,
Hispanic,112,51,45.7,12.97,14,12.2,8.51,3,2.6,4.17,,,,,
White,"4,081","3,987",97.7,0.41,"2,677",65.6,1.30,"1,654",40.5,1.35,,,,,
Black,"1,276","1,273",99.8,0.27,732,57.4,2.94,487,38.2,2.89,,,,,
NORTH DAKOTA Total,460,456,99.2,0.30,416,90.5,0.99,262,57.0,1.67,,,,,
Male,226,224,99.3,0.41,203,89.9,1.45,129,57.2,2.38,,,,,
Female,234,232,99.1,0.44,213,91.0,1.35,133,56.8,2.34,,,,,
N-H White,436,435,99.6,0.21,395,90.6,1.01,250,57.3,1.71,,,,,
N-H Black,0,.,(B),(B),.,(B),(B),.,(B),(B),,,,,
N-H API,3,2,(B),(B),1,(B),(B),1,(B),(B),,,,,
Hispanic,1,1,(B),(B),1,(B),(B),.,(B),(B),,,,,
White,438,436,99.6,0.21,396,90.5,1.01,250,57.1,1.71,,,,,
Black,0,.,(B),(B),.,(B),(B),.,(B),(B),,,,,
OHIO Total,"8,263","8,123",98.3,0.26,"5,266",63.7,0.97,"3,685",44.6,1.00,,,,,
Male,"3,887","3,819",98.2,0.38,"2,460",63.3,1.41,"1,708",43.9,1.45,,,,,
Female,"4,376","4,304",98.4,0.35,"2,806",64.1,1.32,"1,977",45.2,1.37,,,,,
N-H White,"7,221","7,155",99.1,0.20,"4,658",64.5,1.03,"3,252",45.0,1.07,,,,,
N-H Black,812,795,98.0,1.10,518,63.9,3.73,378,46.6,3.87,,,,,
N-H API,113,59,52.3,10.86,36,31.9,10.14,24,21.4,8.92,,,,,
Hispanic,98,94,(B),(B),37,(B),(B),26,(B),(B),,,,,
White,"7,310","7,240",99.0,0.21,"4,689",64.1,1.02,"3,272",44.8,1.06,,,,,
Black,821,804,98.0,1.08,525,63.9,3.71,384,46.8,3.85,,,,,
OKLAHOMA Total,"2,426","2,390",98.5,0.38,"1,556",64.1,1.51,973,40.1,1.54,,,,,
Male,"1,177","1,158",98.4,0.57,715,60.7,2.20,477,40.5,2.21,,,,,
Female,"1,249","1,232",98.6,0.51,841,67.3,2.05,496,39.7,2.14,,,,,
N-H White,"1,921","1,906",99.2,0.31,"1,268",66.0,1.67,817,42.5,1.74,,,,,
N-H Black,213,213,(B),(B),129,60.3,6.27,68,31.8,5.97,,,,,
N-H API,25,19,(B),(B),5,(B),(B),5,(B),(B),,,,,
Hispanic,74,57,(B),(B),29,(B),(B),11,(B),(B),,,,,
White,"1,988","1,957",98.4,0.43,"1,295",65.1,1.65,828,41.6,1.71,,,,,
Black,213,213,(B),(B),129,60.3,6.27,68,31.8,5.97,,,,,
OREGON Total,"2,474","2,304",93.1,0.85,"1,635",66.1,1.60,"1,163",47.0,1.68,,,,,
Male,"1,225","1,121",91.5,1.34,763,62.3,2.32,562,45.9,2.39,,,,,
Female,"1,250","1,183",94.7,1.07,871,69.7,2.18,601,48.1,2.37,,,,,
N-H White,"2,152","2,108",98.0,0.51,"1,527",71.0,1.64,"1,104",51.3,1.81,,,,,
N-H Black,38,38,(B),(B),28,(B),(B),16,(B),(B),,,,,
N-H API,74,50,(B),(B),30,(B),(B),19,(B),(B),,,,,
Hispanic,180,77,42.6,9.72,34,19.0,7.71,15,8.3,5.41,,,,,
White,"2,310","2,175",94.1,0.82,"1,562",67.6,1.63,"1,119",48.4,1.74,,,,,
Black,38,38,(B),(B),28,(B),(B),16,(B),(B),,,,,
PENNSYLVANIA Total,"8,942","8,694",97.2,0.31,"5,452",61.0,0.91,"3,503",39.2,0.92,,,,,
Male,"4,136","4,013",97.0,0.47,"2,569",62.1,1.34,"1,658",40.1,1.35,,,,,
Female,"4,806","4,681",97.4,0.41,"2,884",60.0,1.25,"1,845",38.4,1.24,,,,,
N-H White,"7,750","7,658",98.8,0.22,"4,856",62.7,0.97,"3,163",40.8,0.99,,,,,
N-H Black,757,732,96.8,1.37,462,61.0,3.81,288,38.1,3.79,,,,,
N-H API,167,67,40.4,8.52,23,13.8,6.00,7,4.5,3.58,,,,,
Hispanic,245,215,87.7,5.85,107,43.7,8.82,41,16.7,6.63,,,,,
White,"7,966","7,848",98.5,0.24,"4,957",62.2,0.96,"3,203",40.2,0.97,,,,,
Black,784,755,96.3,1.44,469,59.8,3.76,288,36.8,3.70,,,,,
RHODE ISLAND Total,726,668,91.9,1.00,478,65.9,1.74,352,48.5,1.84,,,,,
Male,334,312,93.2,1.37,223,66.8,2.55,168,50.2,2.71,,,,,
Female,392,356,90.8,1.44,255,65.0,2.39,184,46.9,2.50,,,,,
N-H White,648,621,95.8,0.78,456,70.4,1.78,339,52.2,1.94,,,,,
N-H Black,34,23,(B),(B),15,(B),(B),9,(B),(B),,,,,
N-H API,7,3,(B),(B),2,(B),(B),2,(B),(B),,,,,
Hispanic,36,19,(B),(B),5,(B),(B),2,(B),(B),,,,,
White,682,638,93.6,0.93,460,67.4,1.78,340,49.9,1.90,,,,,
Black,37,26,(B),(B),16,(B),(B),9,(B),(B),,,,,
SOUTH CAROLINA Total,"2,817","2,793",99.2,0.31,"1,907",67.7,1.60,"1,328",47.1,1.71,,,,,
Male,"1,328","1,320",99.4,0.39,852,64.1,2.39,593,44.7,2.48,,,,,
Female,"1,489","1,473",99.0,0.48,"1,055",70.9,2.14,734,49.3,2.36,,,,,
N-H White,"2,032","2,024",99.6,0.24,"1,391",68.4,1.87,"1,001",49.3,2.02,,,,,
N-H Black,741,741,100,0,504,68.0,3.77,317,42.8,4.00,,,,,
N-H API,20,12,(B),(B),7,(B),(B),7,(B),(B),,,,,
Hispanic,24,16,(B),(B),6,(B),(B),3,(B),(B),,,,,
White,"2,056","2,040",99.2,0.35,"1,397",67.9,1.87,"1,004",48.8,2.00,,,,,
Black,741,741,100,0,504,68.0,3.77,317,42.8,4.00,,,,,
SOUTH DAKOTA Total,529,527,99.5,0.22,364,68.7,1.50,268,50.7,1.62,,,,,
Male,269,268,99.4,0.34,183,68.0,2.12,138,51.4,2.27,,,,,
Female,260,259,99.6,0.28,181,69.5,2.13,130,50.1,2.31,,,,,
N-H White,494,494,99.9,0.10,349,70.6,1.53,261,52.7,1.68,,,,,
N-H Black,2,2,(B),(B),.,(B),(B),.,(B),(B),,,,,
N-H API,5,5,(B),(B),1,(B),(B),1,(B),(B),,,,,
Hispanic,4,3,(B),(B),3,(B),(B),2,(B),(B),,,,,
White,498,497,99.7,0.18,351,70.4,1.53,262,52.6,1.67,,,,,
Black,2,2,(B),(B),.,(B),(B),.,(B),(B),,,,,
TENNESSEE Total,"4,080","4,050",99.3,0.28,"2,607",63.9,1.57,"1,478",36.2,1.58,,,,,
Male,"1,940","1,923",99.2,0.43,"1,212",62.5,2.30,708,36.5,2.29,,,,,
Female,"2,140","2,127",99.4,0.36,"1,395",65.2,2.16,769,35.9,2.17,,,,,
N-H White,"3,404","3,375",99.1,0.33,"2,177",63.9,1.72,"1,225",36.0,1.72,,,,,
N-H Black,635,635,100.0,0,411,64.8,4.81,248,39.0,4.91,,,,,
N-H API,11,11,(B),(B),3,(B),(B),.,(B),(B),,,,,
Hispanic,20,20,(B),(B),10,(B),(B),.,(B),(B),,,,,
White,"3,425","3,395",99.1,0.33,"2,187",63.9,1.72,"1,225",35.8,1.72,,,,,
Black,635,635,100.0,0,411,64.8,4.81,248,39.0,4.91,,,,,
TEXAS Total,"14,080","12,528",89.0,0.53,"8,301",59.0,0.83,"4,636",32.9,0.79,,,,,
Male,"6,691","5,865",87.7,0.80,"3,825",57.2,1.20,"2,150",32.1,1.14,,,,,
Female,"7,389","6,663",90.2,0.69,"4,476",60.6,1.13,"2,487",33.7,1.09,,,,,
N-H White,"8,058","7,908",98.1,0.30,"5,594",69.4,1.02,"3,415",42.4,1.10,,,,,
N-H Black,"1,537","1,529",99.5,0.43,990,64.4,2.94,564,36.7,2.96,,,,,
N-H API,362,160,44.1,6.56,64,17.8,5.06,20,5.6,3.03,,,,,
Hispanic,"4,057","2,864",70.6,2.24,"1,609",39.7,2.40,623,15.3,1.77,,,,,
White,"12,019","10,724",89.2,0.56,"7,176",59.7,0.89,"4,020",33.5,0.86,,,,,
Black,"1,614","1,559",96.6,1.08,"1,003",62.1,2.91,572,35.5,2.87,,,,,
UTAH Total,"1,408","1,335",94.8,0.70,788,55.9,1.57,562,39.9,1.55,,,,,
Male,671,636,94.9,1.01,373,55.6,2.28,266,39.6,2.24,,,,,
Female,738,698,94.7,0.98,415,56.2,2.17,296,40.1,2.14,,,,,
N-H White,"1,279","1,256",98.2,0.45,753,58.9,1.63,542,42.3,1.64,,,,,
N-H Black,5,5,(B),(B),2,(B),(B),.,(B),(B),,,,,
N-H API,34,13,(B),(B),7,(B),(B),3,(B),(B),,,,,
Hispanic,86,57,(B),(B),25,(B),(B),17,(B),(B),,,,,
White,"1,365","1,313",96.2,0.61,778,57.0,1.59,558,40.9,1.58,,,,,
Black,5,5,(B),(B),2,(B),(B),.,(B),(B),,,,,
VERMONT Total,444,434,97.9,0.52,316,71.2,1.65,229,51.6,1.82,,,,,
Male,219,214,97.7,0.78,153,69.7,2.38,110,50.2,2.59,,,,,
Female,225,220,98.1,0.70,163,72.6,2.28,119,53.0,2.55,,,,,
N-H White,434,427,98.4,0.47,312,71.8,1.66,226,52.0,1.84,,,,,
N-H Black,0,0,(B),(B),0,(B),(B),0,(B),(B),,,,,
N-H API,5,3,(B),(B),2,(B),(B),2,(B),(B),,,,,
Hispanic,2,2,(B),(B),1,(B),(B),1,(B),(B),,,,,
White,436,429,98.4,0.47,313,71.8,1.65,227,52.0,1.84,,,,,
Black,0,0,(B),(B),0,(B),(B),0,(B),(B),,,,,
VIRGINIA Total,"4,969","4,786",96.3,0.59,"2,996",60.3,1.53,"1,496",30.1,1.43,,,,,
Male,"2,345","2,262",96.5,0.84,"1,339",57.1,2.25,719,30.7,2.10,,,,,
Female,"2,624","2,524",96.2,0.82,"1,657",63.2,2.07,777,29.6,1.96,,,,,
N-H White,"3,666","3,621",98.8,0.40,"2,371",64.7,1.74,"1,219",33.3,1.71,,,,,
N-H Black,"1,046","1,007",96.3,1.56,565,54.1,4.11,251,24.0,3.52,,,,,
N-H API,132,83,62.9,11.72,31,23.3,10.26,19,14.6,8.57,,,,,
Hispanic,107,57,52.9,16.69,18,17.2,12.63,.,(B),(B),,,,,
White,"3,765","3,674",97.6,0.55,"2,389",63.5,1.73,"1,219",32.4,1.68,,,,,
Black,"1,054","1,010",95.9,1.63,565,53.6,4.09,251,23.8,3.49,,,,,
WASHINGTON Total,"4,179","3,895",93.2,0.85,"2,622",62.8,1.64,"1,905",45.6,1.69,,,,,
Male,"2,076","1,929",92.9,1.23,"1,236",59.5,2.36,897,43.2,2.39,,,,,
Female,"2,102","1,965",93.5,1.18,"1,386",65.9,2.27,"1,008",47.9,2.39,,,,,
N-H White,"3,587","3,483",97.1,0.61,"2,393",66.7,1.73,"1,779",49.6,1.83,,,,,
N-H Black,81,81,(B),(B),40,(B),(B),16,(B),(B),,,,,
N-H API,237,154,64.9,8.60,75,31.5,8.38,59,24.8,7.78,,,,,
Hispanic,182,85,46.7,12.74,64,34.9,12.17,31,16.8,9.54,,,,,
White,"3,766","3,565",94.7,0.80,"2,456",65.2,1.70,"1,810",48.1,1.79,,,,,
Black,81,81,(B),(B),40,(B),(B),16,(B),(B),,,,,
WEST VIRGINIA Total,"1,401","1,399",99.8,0.12,880,62.8,1.46,503,35.9,1.45,,,,,
Male,655,655,100.0,0,392,59.8,2.16,228,34.8,2.10,,,,,
Female,745,743,99.7,0.22,488,65.5,1.97,274,36.8,2.00,,,,,
N-H White,"1,365","1,365",(B),(B),858,62.9,1.48,489,35.9,1.47,,,,,
N-H Black,22,22,(B),(B),11,(B),(B),8,(B),(B),,,,,
N-H API,8,7,(B),(B),7,(B),(B),3,(B),(B),,,,,
Hispanic,5,3,(B),(B),1,(B),(B),1,(B),(B),,,,,
White,"1,369","1,368",99.9,0.09,859,62.8,1.48,491,35.8,1.46,,,,,
Black,22,22,(B),(B),11,(B),(B),8,(B),(B),,,,,
WISCONSIN Total,"3,790","3,739",98.6,0.38,"2,602",68.7,1.51,"1,905",50.3,1.63,,,,,
Male,"1,840","1,816",98.7,0.53,"1,225",66.6,2.21,912,49.6,2.34,,,,,
Female,"1,950","1,922",98.6,0.54,"1,377",70.6,2.07,994,51.0,2.27,,,,,
N-H White,"3,464","3,456",99.8,0.17,"2,443",70.5,1.55,"1,826",52.7,1.70,,,,,
N-H Black,187,183,97.9,2.55,104,55.5,8.82,66,35.4,8.49,,,,,
N-H API,74,38,(B),(B),21,(B),(B),.,(B),(B),,,,,
Hispanic,25,22,(B),(B),14,(B),(B),7,(B),(B),,,,,
White,"3,489","3,478",99.7,0.19,"2,457",70.4,1.55,"1,833",52.5,1.70,,,,,
Black,187,183,97.9,2.55,104,55.5,8.82,66,35.4,8.49,,,,,
WYOMING Total,346,341,98.7,0.38,227,65.6,1.60,188,54.3,1.68,,,,,
Male,175,173,98.9,0.50,113,64.8,2.26,93,53.2,2.36,,,,,
Female,171,168,98.5,0.58,114,66.5,2.26,95,55.4,2.38,,,,,
N-H White,319,318,99.5,0.24,216,67.5,1.64,178,55.9,1.74,,,,,
N-H Black,4,4,(B),(B),0,(B),(B),0,(B),(B),,,,,
N-H API,6,5,(B),(B),2,(B),(B),2,(B),(B),,,,,
Hispanic,13,12,(B),(B),6,(B),(B),5,(B),(B),,,,,
White,332,329,99.2,0.31,221,66.6,1.62,183,55.2,1.71,,,,,
Black,4,4,(B),(B),0,(B),(B),0,(B),(B),,,,,
