"Table 4a.  Reported Voting and Registration of the Total Voting-Age Population, by Sex, Race, and Hispanic Origin, for States: November 2000",,,,,,,,,,,
,,,,,,,,,,,
Source:  U.S. Census Bureau,,,,,,,,,,,
"Internet Release date:  February 27, 2002",,,,,,,,,,,
,,,,,,,,,,,
(In thousands),,,,,,,,,,,
STATE,,Population 18 and over,Total citizen,Percent citizen,Confidence interval,Total registered,Percent registered (18+),Confidence interval,Total voted,Percent voted (18+),Confidence interval
,Black,934,907,97.1,2.0,601,64.3,5.7,502,53.8,6.0
OKLAHOMA,Total,"2,457","2,400",97.7,0.8,"1,679",68.3,2.4,"1,431",58.3,2.5
,Male,"1,155","1,124",97.3,1.2,761,65.9,3.5,653,56.5,3.7
,Female,"1,302","1,276",98.0,1.0,918,70.5,3.2,778,59.8,3.4
,N-H White,"2,102","2,084",99.2,0.5,"1,483",70.6,2.5,"1,269",60.4,2.7
,N-H Black,115,115,100.0,0.0,66,57.4,14.1,51,44.5,14.2
,API,38,22,(B),(B),16,(B),(B),14,(B),(B)
,Hispanic,76,47,(B),(B),26,(B),(B),21,(B),(B)
,White,"2,169","2,129",98.1,0.7,"1,507",69.5,2.5,"1,287",59.3,2.7
,Black,115,115,100.0,0.0,66,57.4,14.1,51,44.5,14.2
OREGON,Total,"2,515","2,295",91.3,1.6,"1,714",68.2,2.6,"1,529",60.8,2.7
,Male,"1,219","1,106",90.7,2.3,806,66.1,3.7,712,58.4,3.9
,Female,"1,296","1,189",91.7,2.1,908,70.1,3.5,817,63.0,3.7
,N-H White,"2,181","2,129",97.6,0.9,"1,605",73.6,2.6,"1,444",66.2,2.8
,N-H Black,34,34,(B),(B),20,(B),(B),17,(B),(B)
,API,85,39,(B),(B),25,(B),(B),21,(B),(B)
,Hispanic,193,70,36.4,15.0,48,25.0,13.5,33,17.1,11.7
,White,"2,372","2,198",92.7,1.5,"1,652",69.6,2.6,"1,477",62.3,2.7
,Black,34,34,(B),(B),20,(B),(B),17,(B),(B)
PENNSYLVANIA,Total,"8,950","8,687",97.1,0.5,"5,847",65.3,1.5,"4,988",55.7,1.5
,Male,"4,287","4,154",96.9,0.8,"2,836",66.1,2.1,"2,373",55.4,2.2
,Female,"4,663","4,533",97.2,0.7,"3,011",64.6,2.0,"2,615",56.1,2.1
,N-H White,"7,805","7,703",98.7,0.4,"5,170",66.2,1.6,"4,414",56.6,1.6
,N-H Black,746,723,96.9,2.2,524,70.2,5.9,457,61.3,6.3
,API,137,65,47.5,15.7,42,30.7,14.5,37,27.1,14.0
,Hispanic,248,182,73.5,12.8,99,39.8,14.2,68,27.3,12.9
,White,"8,015","7,868",98.2,0.4,"5,269",65.7,1.5,"4,482",55.9,1.6
,Black,764,734,96.0,2.5,524,68.6,5.9,457,59.9,6.3
RHODE ISLAND,Total,729,690,94.6,1.4,508,69.7,2.8,438,60.1,3.0
,Male,339,322,95.0,1.9,230,67.7,4.1,193,56.8,4.4
,Female,390,368,94.4,1.9,279,71.5,3.7,245,62.9,4.0
,N-H White,649,633,97.6,1.0,483,74.5,2.8,415,64.0,3.1
,N-H Black,38,30,(B),(B),14,(B),(B),13,(B),(B)
,API,9,6,(B),(B),4,(B),(B),3,(B),(B)
,Hispanic,30,17,(B),(B),4,(B),(B),4,(B),(B)
,White,670,645,96.3,1.2,488,72.7,2.8,419,62.5,3.0
,Black,38,30,(B),(B),14,(B),(B),13,(B),(B)
SOUTH CAROLINA,Total,"2,929","2,897",98.9,0.6,"1,993",68.0,2.6,"1,725",58.9,2.7
,Male,"1,355","1,336",98.7,0.9,869,64.2,3.9,752,55.5,4.0
,Female,"1,575","1,561",99.1,0.7,"1,124",71.4,3.4,973,61.8,3.7
,N-H White,"2,171","2,160",99.5,0.5,"1,516",69.8,2.9,"1,303",60.0,3.1
,N-H Black,662,657,99.3,1.2,454,68.6,6.5,402,60.7,6.9
,API,23,23,(B),(B),10,(B),(B),10,(B),(B)
,Hispanic,62,46,(B),(B),7,(B),(B),7,(B),(B)
,White,"2,233","2,206",98.8,0.7,"1,524",68.2,2.9,"1,310",58.7,3.1
,Black,662,657,99.3,1.2,454,68.6,6.5,402,60.7,6.9
SOUTH DAKOTA,Total,530,525,99.1,0.5,376,70.9,2.4,311,58.7,2.6
,Male,263,260,98.8,0.8,184,69.8,3.5,149,56.6,3.8
,Female,266,264,99.3,0.6,192,72.1,3.4,162,60.7,3.7
,N-H White,495,494,99.9,0.1,355,71.9,2.5,297,60.0,2.7
,N-H Black,5,3,(B),(B),2,(B),(B),1,(B),(B)
,API,2,1,(B),(B),-,(B),(B),-,(B),(B)
,Hispanic,4,3,(B),(B),2,(B),(B),1,(B),(B)
,White,498,497,99.8,0.2,357,71.7,2.5,298,59.8,2.7
,Black,5,3,(B),(B),2,(B),(B),1,(B),(B)
TENNESSEE,Total,"4,173","4,067",97.4,0.8,"2,590",62.1,2.6,"2,183",52.3,2.7
,Male,"2,036","1,960",96.3,1.4,"1,239",60.8,3.7,"1,042",51.2,3.8
,Female,"2,137","2,107",98.6,0.9,"1,351",63.2,3.6,"1,142",53.4,3.7
,N-H White,"3,422","3,379",98.7,0.7,"2,149",62.8,2.8,"1,825",53.3,2.9
,N-H Black,658,654,99.4,1.3,427,64.9,7.8,344,52.3,8.1
,API,23,6,(B),(B),3,(B),(B),3,(B),(B)
,Hispanic,67,26,(B),(B),11,(B),(B),11,(B),(B)
,White,"3,489","3,404",97.6,0.9,"2,160",61.9,2.8,"1,836",52.6,2.9
,Black,658,654,99.4,1.3,427,64.9,7.8,344,52.3,8.1
TEXAS,Total,"14,533","12,937",89.0,0.9,"8,929",61.4,1.3,"7,005",48.2,1.4
,Male,"7,079","6,222",87.9,1.3,"4,189",59.2,1.9,"3,305",46.7,1.9
,Female,"7,454","6,715",90.1,1.1,"4,740",63.6,1.8,"3,700",49.6,1.9
,N-H White,"8,223","8,101",98.5,0.4,"5,901",71.8,1.6,"4,761",57.9,1.8
,N-H Black,"1,380","1,361",98.7,1.2,958,69.4,4.9,798,57.8,5.3
,API,451,235,52.0,9.8,135,30.0,8.9,120,26.5,8.6
,Hispanic,"4,414","3,173",71.9,3.5,"1,905",43.2,3.8,"1,300",29.5,3.5
,White,"12,572","11,224",89.3,0.9,"7,771",61.8,1.4,"6,042",48.1,1.5
,Black,"1,397","1,378",98.7,1.2,971,69.5,4.9,803,57.5,5.3
UTAH,Total,"1,472","1,378",93.6,1.2,953,64.7,2.4,829,56.3,2.5
,Male,724,677,93.5,1.8,453,62.5,3.5,386,53.3,3.6
,Female,748,701,93.7,1.7,500,66.9,3.4,443,59.3,3.5
,N-H White,"1,313","1,292",98.4,0.7,913,69.5,2.5,798,60.8,2.6
,N-H Black,4,4,(B),(B),4,(B),(B),4,(B),(B)
,API,46,34,(B),(B),9,(B),(B),7,(B),(B)
,Hispanic,104,43,41.2,14.9,24,23.3,12.8,20,19.5,12.0
,White,"1,414","1,332",94.2,1.2,934,66.1,2.5,815,57.7,2.6
,Black,4,4,(B),(B),4,(B),(B),4,(B),(B)
VERMONT,Total,458,451,98.5,0.7,330,72.0,2.7,290,63.3,2.8
,Male,221,216,98.1,1.2,152,68.8,3.9,131,59.1,4.2
,Female,238,235,98.8,0.9,178,74.9,3.6,159,67.1,3.9
,N-H White,451,448,99.3,0.5,328,72.6,2.7,288,63.8,2.9
,N-H Black,1,-,(B),(B),-,(B),(B),-,(B),(B)
,API,2,-,(B),(B),-,(B),(B),-,(B),(B)
,Hispanic,3,2,(B),(B),2,(B),(B),2,(B),(B)
,White,454,450,99.0,0.6,329,72.6,2.6,290,63.8,2.9
,Black,1,-,(B),(B),-,(B),(B),-,(B),(B)
VIRGINIA,Total,"5,177","4,912",94.9,1.1,"3,317",64.1,2.4,"2,962",57.2,2.5
,Male,"2,431","2,305",94.8,1.6,"1,512",62.2,3.6,"1,344",55.3,3.7
,Female,"2,745","2,608",95.0,1.5,"1,805",65.8,3.3,"1,619",59.0,3.4
,N-H White,"3,719","3,645",98.0,0.8,"2,568",69.1,2.7,"2,300",61.8,2.9
,N-H Black,"1,003",982,97.9,2.0,583,58.2,6.8,529,52.7,6.9
,API,205,126,61.5,15.6,59,28.9,14.5,42,20.7,13.0
,Hispanic,234,144,61.2,18.1,106,45.0,18.5,90,38.5,18.1
,White,"3,930","3,769",95.9,1.1,"2,658",67.6,2.7,"2,375",60.4,2.8
,Black,"1,010",989,97.9,2.0,586,58.0,6.8,532,52.7,6.9
WASHINGTON,Total,"4,314","4,078",94.5,1.2,"2,852",66.1,2.6,"2,527",58.6,2.7
,Male,"2,053","1,936",94.3,1.8,"1,361",66.3,3.8,"1,196",58.3,3.9
,Female,"2,261","2,142",94.8,1.7,"1,491",66.0,3.6,"1,331",58.9,3.7
,N-H White,"3,734","3,651",97.8,0.9,"2,589",69.3,2.7,"2,346",62.8,2.9
,N-H Black,123,101,82.3,15.0,62,50.8,19.7,39,31.5,18.3
,API,213,141,66.2,14.8,90,42.0,15.4,60,28.2,14.1
,Hispanic,167,109,65.0,20.9,71,42.4,21.7,59,35.0,20.9
,White,"3,890","3,756",96.6,1.1,"2,656",68.3,2.7,"2,400",61.7,2.8
,Black,123,101,82.3,15.0,62,50.8,19.7,39,31.5,18.3
WEST VIRGINIA,Total,"1,405","1,397",99.4,0.4,886,63.1,2.4,732,52.1,2.5
,Male,654,651,99.5,0.5,412,62.9,3.5,341,52.2,3.6
,Female,750,746,99.4,0.5,475,63.2,3.3,390,52.0,3.4
,N-H White,"1,349","1,346",99.7,0.3,856,63.4,2.4,708,52.5,2.5
,N-H Black,45,45,(B),(B),29,(B),(B),22,(B),(B)
,API,4,2,(B),(B),-,(B),(B),-,(B),(B)
,Hispanic,7,5,(B),(B),1,(B),(B),1,(B),(B)
,White,"1,355","1,349",99.6,0.3,857,63.2,2.4,709,52.3,2.5
,Black,45,45,(B),(B),29,(B),(B),22,(B),(B)
WISCONSIN,Total,"3,884","3,755",96.7,0.9,"2,970",76.5,2.2,"2,632",67.8,2.5
,Male,"1,912","1,822",95.3,1.6,"1,420",74.3,3.3,"1,266",66.2,3.6
,Female,"1,972","1,932",98.0,1.0,"1,551",78.6,3.0,"1,367",69.3,3.4
,N-H White,"3,503","3,471",99.1,0.5,"2,784",79.5,2.3,"2,469",70.5,2.5
,N-H Black,147,139,94.5,7.5,105,71.5,14.9,91,62.0,16.0
,API,48,39,(B),(B),30,(B),(B),30,(B),(B)
,Hispanic,159,78,48.8,20.5,34,21.6,16.9,31,19.4,16.2
,White,"3,653","3,543",97.0,0.9,"2,815",77.1,2.3,"2,496",68.3,2.5
,Black,147,139,94.5,7.5,105,71.5,14.9,91,62.0,16.0
WYOMING,Total,350,348,99.3,0.4,240,68.6,2.5,219,62.5,2.6
,Male,176,175,99.4,0.6,118,67.4,3.6,105,59.7,3.8
,Female,175,173,99.2,0.7,122,69.8,3.6,114,65.2,3.7
,N-H White,324,324,99.9,0.2,228,70.2,2.6,211,64.9,2.7
,N-H Black,1,1,(B),(B),1,(B),(B),1,(B),(B)
,API,-,-,(B),(B),-,(B),(B),-,(B),(B)
,Hispanic,19,17,(B),(B),9,(B),(B),6,(B),(B)
,White,342,340,99.5,0.4,236,69.1,2.6,217,63.4,2.7
,Black,1,1,(B),(B),1,(B),(B),1,(B),(B)
,,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,,
             N-H represents Non-Hispanic.  API includes Asian and Pacific Islander.,,,,,,,,,,,
             Hispanics may be of any race.,,,,,,,,,,,
              -  Represents zero or rounds to zero. ,,,,,,,,,,,
