,0,1
23,ELI YAHU KAPLOU (WRITE-IN),1.0
24,ELLIOT SPITZER (WRITE-IN),2.0
25,ERIC COSTELLO (WRITE-IN),1.0
26,ERIC DIMICHELE (WRITE-IN),1.0
27,ERIC DINALLA (WRITE-IN),1.0
28,ERIC SCHNEIDERMAN (WRITE-IN),1.0
29,ERNEST MALARELLI AND GREGORY J EDWARDS (WRITE-IN),1.0
30,ESTHER OTTILE/LEWIS RUSCH (WRITE-IN),1.0
31,FRED MAZELIS SOCIALIST EQUALITY PARTY (WRITE-IN),1.0
32,FULL PUBLIC FUNDING (WRITE-IN),1.0
33,GENE RUSSIANOFF (WRITE-IN),1.0
34,GEORGE PATAKI (WRITE-IN),2.0
35,GLORIA MAHERA (WRITE-IN),1.0
36,GOVERNOR DAN FEIN - SOCIALIST WORKER (WRITE-IN),2.0
37,GUY MOLINARI (WRITE-IN),2.0
38,HARRY DAGOSTINO (WRITE-IN),2.0
39,HARRY D'AGUSTINO L.T GOV. PARTY (WRITE-IN),1.0
40,HARRY DIAGOSTINO (WRITE-IN),2.0
41,HUGH CAREY (WRITE-IN),1.0
42,HUGH CARLY (WRITE-IN),2.0
43,I OBJECT TO NO TERM LIMITS (WRITE-IN),1.0
44,JACOB FARKAS (WRITE-IN),1.0
45,JAMES BARRON (WRITE-IN),1.0
46,JAMES BORGIN 3RD (WRITE-IN),1.0
0,Total for Governor/Lieutenant Governor (Citywide) - New York County,
1,JAMES BRIEF (WRITE-IN),1.0
2,JAMES CHAPPELL (WRITE-IN),1.0
3,JAMES FINEGEROTH (WRITE-IN),1.0
4,JAMES ROBINSON (WRITE-IN),1.0
5,JAN CREDO (WRITE-IN),1.0
6,JANE FALKENSTEIN & JOHN MCCARTHY (WRITE-IN),1.0
7,JEFFREY DOTEL (WRITE-IN),2.0
8,JERRY TOMANELLI (WRITE-IN),2.0
9,JOHN A GOLEC (WRITE-IN),2.0
10,JOHN LASULA (WRITE-IN),2.0
11,JOHN NEMJO (WRITE-IN),1.0
12,JOHN P. CAHILL (WRITE-IN),1.0
13,JOHN SHEEHY (WRITE-IN),1.0
14,JON STEWART (WRITE-IN),1.0
15,JOSEPH PALISITS (WRITE-IN),1.0
16,JUDITH KAYE (WRITE-IN),1.0
17,KATE COHEN (WRITE-IN),1.0
18,KAY LARSON (WRITE-IN),1.0
19,KEITH HAMILTON (WRITE-IN),1.0
20,KEN COUGHLIN (WRITE-IN),1.0
21,KEN LANGONE (WRITE-IN),1.0
22,KEVIN KRAMIE (WRITE-IN),1.0
23,KRISTEN DAVIS (WRITE-IN),1.0
24,KRISTEN GESSWEIN FEALY (WRITE-IN),1.0
25,KYLE PFORTMILLER (WRITE-IN),1.0
26,L. ARTHUR EGAN (WRITE-IN),1.0
27,LARRY MONTY (WRITE-IN),1.0
28,LEE WILLIAMS ROSE (WRITE-IN),1.0
29,LENNY BRISCOE (WRITE-IN),1.0
30,LEONARD VAISMAN (WRITE-IN),1.0
31,LISA DENICOLD (WRITE-IN),1.0
32,LORD JESUS CHRIST THE SON OF GOD (WRITE-IN),1.0
33,LOWELL WEIDER (WRITE-IN),2.0
34,MARGARET TRINGLE (WRITE-IN),1.0
35,MARIAN M CHEN (WRITE-IN),1.0
36,MARIO CUOMO (WRITE-IN),1.0
37,MARK GREEN (WRITE-IN),1.0
38,MARK HORLEY (WRITE-IN),3.0
39,MARYANNE SLULLEY (WRITE-IN),1.0
40,MAURICE MICHAANE (WRITE-IN),2.0
41,MICHAEL BLOOMBERG (WRITE-IN),30.0
42,MICHAEL BLOOMING (WRITE-IN),1.0
43,MICHAEL BURGESS (WRITE-IN),1.0
44,MICKEY MOUSE (WRITE-IN),1.0
45,MONJAD STERN (WRITE-IN),1.0
46,MR MAGOO (WRITE-IN),1.0
0,Total for Governor/Lieutenant Governor (Citywide) - New York County,
1,NEED MORE CHOICES (WRITE-IN),1.0
2,NEIL J. LERNER (WRITE-IN),1.0
3,NO NAME (WRITE-IN),24.0
4,NO OF THESE (WRITE-IN),1.0
5,NO ONE (WRITE-IN),1.0
6,NOBODY (WRITE-IN),1.0
7,NONE (WRITE-IN),5.0
8,NONE OF THE ABOVE (WRITE-IN),7.0
9,NONE OF THE FOREGOING (WRITE-IN),1.0
10,NONE OF THESE CANDIDATES ARE ACCEPTABLE (WRITE-IN),1.0
11,NOT CUOMO (WRITE-IN),1.0
12,OWEN WEST (WRITE-IN),2.0
13,PAUL YEE (WRITE-IN),1.0
14,PETER D COPELAND (WRITE-IN),1.0
15,PETER KING (WRITE-IN),1.0
16,PETER MAXWELL (WRITE-IN),1.0
17,PIMKY & THE BRAIN (WRITE-IN),1.0
18,R.A. DICKEY (WRITE-IN),1.0
19,RICHARD RARITCH (WRITE-IN),1.0
20,RICHARD RAVITCH (WRITE-IN),1.0
21,RICHARD WEINGARTEN (WRITE-IN),1.0
22,RICK LAZIO (WRITE-IN),26.0
23,ROBERT E. CROTTY (WRITE-IN),1.0
24,ROBERT JACKSON (WRITE-IN),2.0
25,ROBERT KANE (WRITE-IN),1.0
26,ROBERT KENEDY JR (WRITE-IN),1.0
27,ROBERT KENNEDY (WRITE-IN),1.0
28,ROBERT LORDERGAN/CHRIST OVERR (WRITE-IN),1.0
29,RON JOHNSON (WRITE-IN),1.0
30,RUDOLPH GIULIANI (WRITE-IN),5.0
31,RUDY GIULIANI (WRITE-IN),8.0
32,RUDY GUILIANI (WRITE-IN),5.0
33,RUSS KORINS (WRITE-IN),1.0
34,RYAN E. HOFFMAN (WRITE-IN),1.0
35,SA DIE (WRITE-IN),1.0
36,SADIE (WRITE-IN),2.0
37,SAM FEIN (WRITE-IN),1.0
38,SHAWN KELLY (WRITE-IN),1.0
39,SHAWN T KELLY (WRITE-IN),1.0
40,STEPHEN COLBERT (WRITE-IN),2.0
41,STEPHEN TIBBITS (WRITE-IN),1.0
42,STUART KRANE (WRITE-IN),1.0
43,T. PARTY (WRITE-IN),1.0
44,TASMIN WOLF (WRITE-IN),1.0
45,THE HIPPO AT THE BRONX ZOO (WRITE-IN),2.0
46,THE HOFF (WRITE-IN),1.0
0,Total for Governor/Lieutenant Governor (Citywide) - New York County,
1,THEODORE ROOSEVELT (WRITE-IN)  1,
2,TIMOTHY JARRETT HARRIS (WRITE-IN)  1,
3,TOM DI NAPOLI (WRITE-IN)  1,
4,TOM GOLISRO (WRITE-IN)  2,
5,TONY AVELLA (WRITE-IN)  1,
6,TYLER GORDON (WRITE-IN)  2,
7,UNDECIDED (WRITE-IN)  1,
8,VALERIE MASON (WRITE-IN)  1,
9,VIC RALTTLEHAND AND PETER FELD (WRITE-IN)  2,
10,VINCE MORGAN (WRITE-IN)  1,
11,VINCENT BALOGIO (WRITE-IN)  1,
12,VOID (WRITE-IN)  65,
13,WAVIE HAURIS AND GLORIA MATTERS (WRITE-IN)  2,
14,WILL RAHN (WRITE-IN)  1,
15,WILLIAM J CLINTON (WRITE-IN)  1,
16,WILLIAM L. GRAHAM (WRITE-IN)  1,
17,WILLIAM MARLY TWEED (WRITE-IN)  2,
18,WORKERS PARTY (WRITE-IN)  1,
19,"Total Votes  352,580",
20,"Unrecorded  12,039",
21,"In one or more Election Districts in this contest, the number of votes reported exceeds the number of ballots reported.  See th",
22,discrepancy report.,
23,"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the",
24,"or a majority thereof, on",
25,Date,
26,Secretary Chairman,Chief Cle
27,Canvassing Board Canvassing Board Deputy Chief,
