index,Categories,Total_Population_1994,Total_Registered_1994,Total_Voted_1994,index,Categories,Total_Population_1996,Total_Registered_1996,Total_Voted_1996,index,Categories,Total_Population_1998,Total_Registered_1998,Total_Voted_1998,index,Categories,Total_Population_2000,Total_Registered_2000,Total_Voted_2000,index,Categories,Total_Population_2002,Total_Registered_2002,Total_Voted_2002,index,Categories,Total_Population_2004,Total_Registered_2004,Total_Voted_2004,index,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006,index,Categories,Total_Population_2008,Total_Registered_2008,Total_Voted_2008,index,Categories,Total_Population_2010,Total_Registered_2010,Total_Voted_2010,index,Categories,Total_Population_2012,Total_Registered_2012,Total_Voted_2012,index,Categories,Total_Population_2014,Total_Registered_2014,Total_Voted_2014,index,Categories,Total_Population_2016,Total_Registered_2016,Total_Voted_2016,index,Categories,Total_Population_2018,Total_Registered_2018,Total_Voted_2018,index,Categories,Total_Population_2020,Total_Registered_2020,Total_Voted_2020
154,BLACK,738,516,308,154,BLACK,660,445,322,154,WHITE,1277,960,520,154,BLACK,611,450,357,154,BLACK,648,440,260,154,BLACK,698,531,466,154,BLACK,718,518,362,154,BLACK,718,588,524,154,BLACK,721,534,351,154,BLACK,748,674,613,154,BLACK,769,639,357,154,BLACK,782,632,537,154,BLACK,798,621,476,154,BLACK,792,654,573
155,HISPANIC ORIGIN,6,2,2,155,HISPANIC ORIGIN,10,3,3,155,BLACK,670,478,271,155,HISPANIC ORIGIN,25,13,4,155,HISPANIC ORIGIN,49,8,4,155,HISPANIC ORIGIN,46,16,12,155,HISPANIC ORIGIN,39,,,155,HISPANIC ORIGIN,54,10,10,155,HISPANIC ORIGIN,17,5,3,155,HISPANIC ORIGIN,35,5,2,155,HISPANIC ORIGIN,60,17,13,155,HISPANIC ORIGIN,41,18,15,155,HISPANIC ORIGIN,44,16,11,155,HISPANIC ORIGIN,67,34,23
156,MISSOURI TOTAL,3797,2748,2073,156,MISSOURI TOTAL,3925,2964,2397,156,MISSOURI TOTAL,3967,2848,1816,156,MISSOURI TOTAL,4066,3023,2659,156,MISSOURI TOTAL,4143,2981,2134,156,MISSOURI TOTAL,4243,3336,2815,156,MISSOURI TOTAL,4388,3170,2310,156,MISSOURI TOTAL,4430,3224,2846,156,MISSOURI TOTAL,4506,3013,2004,156,MISSOURI TOTAL,4521,3384,2818,156,MISSOURI TOTAL,4505,3194,1713,156,MISSOURI TOTAL,4626,3333,2906,156,MISSOURI TOTAL,4676,3299,2509,156,MISSOURI TOTAL,4637,3388,2990
157,MALE,1864,1343,999,157,MALE,1856,1346,1094,157,MALE,1857,1302,838,157,MALE,1902,1386,1217,157,MALE,1908,1320,931,157,MALE,2023,1540,1299,157,MALE,2127,1471,1095,157,MALE,2120,1510,1318,157,MALE,2164,1414,941,157,MALE,2169,1608,1321,157,MALE,2172,1514,863,157,MALE,2231,1534,1328,157,MALE,2243,1541,1162,157,MALE,2205,1556,1361
158,FEMALE,1933,1405,1074,158,FEMALE,2070,1619,1303,158,FEMALE,2110,1547,978,158,FEMALE,2165,1637,1442,158,FEMALE,2235,1662,1203,158,FEMALE,2219,1796,1516,158,FEMALE,2262,1699,1216,158,FEMALE,2309,1714,1528,158,FEMALE,2342,1598,1063,158,FEMALE,2352,1776,1497,158,FEMALE,2333,1680,850,158,FEMALE,2395,1799,1577,158,FEMALE,2433,1758,1346,158,FEMALE,2432,1832,1629
159,WHITE,3353,2500,1895,159,WHITE,3546,2730,2204,159,HISPANIC ORIGIN,66,20,14,159,WHITE,3526,2649,2324,159,WHITE,3611,2605,1895,159,WHITE,3636,2865,2424,159,WHITE,3765,2772,2053,159,WHITE,3833,2799,2451,159,WHITE,3900,2622,1755,159,WHITE,3887,2923,2452,159,WHITE,3861,2788,1497,159,WHITE,3957,2886,2529,159,WHITE,4006,2887,2227,159,WHITE,3871,2935,2576
160,BLACK,394,233,162,160,BLACK,361,224,182,160,WHITE,3575,2586,1680,160,BLACK,449,340,305,160,BLACK,455,340,239,160,BLACK,433,382,324,160,BLACK,454,315,209,160,BLACK,457,352,336,160,BLACK,484,338,224,160,BLACK,484,374,313,160,BLACK,485,325,177,160,BLACK,491,385,325,160,BLACK,504,326,238,160,BLACK,518,373,351
161,HISPANIC ORIGIN,41,15,0,161,HISPANIC ORIGIN,75,30,26,161,BLACK,339,232,117,161,HISPANIC ORIGIN,38,13,13,161,HISPANIC ORIGIN,58,21,12,161,HISPANIC ORIGIN,115,50,35,161,HISPANIC ORIGIN,135,58,46,161,HISPANIC ORIGIN,98,25,20,161,HISPANIC ORIGIN,140,37,24,161,HISPANIC ORIGIN,140,71,63,161,HISPANIC ORIGIN,88,28,15,161,HISPANIC ORIGIN,160,59,50,161,HISPANIC ORIGIN,176,53,47,161,HISPANIC ORIGIN,232,127,95
162,MONTANA TOTAL,619,453,376,162,MONTANA TOTAL,649,487,437,162,MONTANA TOTAL,654,472,349,162,MONTANA TOTAL,658,461,409,162,MONTANA TOTAL,680,468,363,162,MONTANA TOTAL,690,519,482,162,MONTANA TOTAL,735,512,435,162,MONTANA TOTAL,731,516,473,162,MONTANA TOTAL,753,491,386,162,MONTANA TOTAL,768,553,495,162,MONTANA TOTAL,788,506,391,162,MONTANA TOTAL,798,581,521,162,MONTANA TOTAL,822,579,518,162,MONTANA TOTAL,836,641,607
163,MALE,303,216,176,163,MALE,326,236,209,163,MALE,322,227,168,163,MALE,329,224,198,163,MALE,340,229,175,163,MALE,339,252,231,163,MALE,365,254,221,163,MALE,358,247,227,163,MALE,371,250,196,163,MALE,379,263,238,163,MALE,392,250,191,163,MALE,399,287,256,163,MALE,405,279,247,163,MALE,415,322,299
164,FEMALE,315,237,200,164,FEMALE,322,251,228,164,FEMALE,331,246,180,164,FEMALE,329,237,212,164,FEMALE,340,239,188,164,FEMALE,352,266,252,164,FEMALE,370,258,214,164,FEMALE,373,269,246,164,FEMALE,381,241,191,164,FEMALE,389,290,258,164,FEMALE,396,257,201,164,FEMALE,399,294,265,164,FEMALE,417,300,271,164,FEMALE,422,318,309
165,WHITE,591,444,368,165,WHITE,607,461,413,165,HISPANIC ORIGIN,8,5,2,165,WHITE,620,439,392,165,WHITE,643,448,350,165,WHITE,647,493,461,165,WHITE,684,482,413,165,WHITE,683,487,447,165,WHITE,678,452,359,165,WHITE,698,506,461,165,WHITE,728,483,380,165,WHITE,738,542,492,165,WHITE,769,546,494,165,WHITE,772,597,572
166,BLACK,1,0,0,166,BLACK,3,2,2,166,WHITE,604,448,333,166,BLACK,,,,166,BLACK,4,,,166,BLACK,,,,166,BLACK,,,,166,BLACK,2,2,2,166,BLACK,5,2,2,166,BLACK,2,,,166,BLACK,3,3,,166,BLACK,5,2,2,166,BLACK,4,1,,166,BLACK,4,2,2
167,HISPANIC ORIGIN,8,5,5,167,HISPANIC ORIGIN,9,5,3,167,BLACK,1,1,0,167,HISPANIC ORIGIN,13,9,8,167,HISPANIC ORIGIN,12,7,4,167,HISPANIC ORIGIN,12,6,5,167,HISPANIC ORIGIN,12,3,2,167,HISPANIC ORIGIN,15,9,8,167,HISPANIC ORIGIN,22,13,9,167,HISPANIC ORIGIN,15,8,7,167,HISPANIC ORIGIN,16,11,8,167,HISPANIC ORIGIN,20,12,11,167,HISPANIC ORIGIN,22,11,11,167,HISPANIC ORIGIN,20,15,14
168,NEBRASKA TOTAL,1156,841,629,168,NEBRASKA TOTAL,1181,875,720,168,NEBRASKA TOTAL,1193,790,540,168,NEBRASKA TOTAL,1205,865,710,168,NEBRASKA TOTAL,1257,838,546,168,NEBRASKA TOTAL,1294,918,793,168,NEBRASKA TOTAL,1298,852,634,168,NEBRASKA TOTAL,1308,939,844,168,NEBRASKA TOTAL,1323,804,511,168,NEBRASKA TOTAL,1371,901,798,168,NEBRASKA TOTAL,1400,873,579,168,NEBRASKA TOTAL,1407,1008,893,168,NEBRASKA TOTAL,1428,883,676,168,NEBRASKA TOTAL,1435,971,892
169,MALE,560,396,301,169,MALE,559,410,337,169,MALE,575,365,248,169,MALE,579,394,331,169,MALE,623,393,259,169,MALE,628,431,367,169,MALE,638,398,295,169,MALE,640,443,391,169,MALE,643,372,244,169,MALE,677,441,386,169,MALE,688,415,286,169,MALE,696,480,419,169,MALE,710,418,314,169,MALE,708,464,421
170,FEMALE,596,445,329,170,FEMALE,622,464,383,170,FEMALE,619,424,292,170,FEMALE,626,471,379,170,FEMALE,635,445,287,170,FEMALE,667,487,426,170,FEMALE,660,454,339,170,FEMALE,669,495,453,170,FEMALE,680,432,268,170,FEMALE,694,460,412,170,FEMALE,712,459,293,170,FEMALE,711,529,474,170,FEMALE,718,466,362,170,FEMALE,728,507,471
171,WHITE,1089,801,612,171,WHITE,1118,848,700,171,HISPANIC ORIGIN,47,11,3,171,WHITE,1133,820,675,171,WHITE,1171,801,529,171,WHITE,1181,865,755,171,WHITE,1183,817,614,171,WHITE,1210,890,803,171,WHITE,1216,769,493,171,WHITE,1265,846,750,171,WHITE,1295,826,552,171,WHITE,1253,927,837,171,WHITE,1277,822,633,171,WHITE,1301,903,826
172,BLACK,47,33,13,172,BLACK,32,19,14,172,WHITE,1141,769,526,172,BLACK,46,30,23,172,BLACK,50,28,14,172,BLACK,51,31,21,172,BLACK,57,21,12,172,BLACK,42,25,24,172,BLACK,45,13,5,172,BLACK,51,32,29,172,BLACK,55,36,21,172,BLACK,56,41,30,172,BLACK,60,26,15,172,BLACK,80,45,44
173,HISPANIC ORIGIN,20,5,1,173,HISPANIC ORIGIN,34,8,6,173,BLACK,30,18,13,173,HISPANIC ORIGIN,56,20,15,173,HISPANIC ORIGIN,95,16,9,173,HISPANIC ORIGIN,119,27,19,173,HISPANIC ORIGIN,76,19,13,173,HISPANIC ORIGIN,76,28,24,173,HISPANIC ORIGIN,101,25,12,173,HISPANIC ORIGIN,110,27,21,173,HISPANIC ORIGIN,135,26,13,173,HISPANIC ORIGIN,109,47,37,173,HISPANIC ORIGIN,175,50,34,173,HISPANIC ORIGIN,98,28,27
174,NEVADA TOTAL,1081,538,437,174,NEVADA TOTAL,1176,694,562,174,NEVADA TOTAL,1298,606,429,174,NEVADA TOTAL,1377,720,641,174,NEVADA TOTAL,1580,775,585,174,NEVADA TOTAL,1699,965,871,174,NEVADA TOTAL,1839,905,686,174,NEVADA TOTAL,1946,1147,1027,174,NEVADA TOTAL,1957,996,731,174,NEVADA TOTAL,2039,1176,1048,174,NEVADA TOTAL,2128,1088,693,174,NEVADA TOTAL,2234,1371,1195,174,NEVADA TOTAL,2324,1277,1006,174,NEVADA TOTAL,2402,1455,1351
175,MALE,539,272,220,175,MALE,587,316,248,175,MALE,654,291,203,175,MALE,693,349,310,175,MALE,773,383,287,175,MALE,856,471,421,175,MALE,926,434,332,175,MALE,982,581,519,175,MALE,989,477,360,175,MALE,1015,574,511,175,MALE,1055,524,348,175,MALE,1098,663,570,175,MALE,1145,616,497,175,MALE,1192,698,649
176,FEMALE,542,266,218,176,FEMALE,589,378,314,176,FEMALE,644,315,226,176,FEMALE,683,371,331,176,FEMALE,807,392,298,176,FEMALE,842,494,450,176,FEMALE,913,471,355,176,FEMALE,964,567,509,176,FEMALE,968,519,371,176,FEMALE,1024,602,536,176,FEMALE,1073,564,345,176,FEMALE,1136,708,625,176,FEMALE,1179,662,509,176,FEMALE,1210,757,702
177,WHITE,944,480,395,177,WHITE,1083,638,526,177,HISPANIC ORIGIN,201,28,14,177,WHITE,1144,625,563,177,WHITE,1362,698,529,177,WHITE,1445,844,763,177,WHITE,1490,762,595,177,WHITE,1572,942,850,177,WHITE,1534,819,608,177,WHITE,1627,947,845,177,WHITE,1571,846,573,177,WHITE,1730,1076,948,177,WHITE,1731,1009,818,177,WHITE,1691,1072,1013
178,BLACK,80,37,29,178,BLACK,56,35,24,178,WHITE,1128,547,396,178,BLACK,112,55,44,178,BLACK,91,44,30,178,BLACK,113,61,56,178,BLACK,137,63,41,178,BLACK,148,114,105,178,BLACK,148,69,48,178,BLACK,169,107,101,178,BLACK,193,124,61,178,BLACK,182,122,110,178,BLACK,197,108,65,178,BLACK,233,155,136
179,HISPANIC ORIGIN,137,27,23,179,HISPANIC ORIGIN,162,31,22,179,BLACK,88,40,25,179,HISPANIC ORIGIN,220,53,45,179,HISPANIC ORIGIN,325,65,42,179,HISPANIC ORIGIN,301,83,72,179,HISPANIC ORIGIN,375,92,50,179,HISPANIC ORIGIN,392,131,119,179,HISPANIC ORIGIN,399,103,68,179,HISPANIC ORIGIN,464,181,157,179,HISPANIC ORIGIN,527,189,97,179,HISPANIC ORIGIN,517,234,196,179,HISPANIC ORIGIN,584,212,156,179,HISPANIC ORIGIN,654,268,239
180,NEW HAMPSHIRE TOTAL,832,539,347,180,NEW HAMPSHIRE TOTAL,862,618,518,180,NEW HAMPSHIRE TOTAL,874,563,357,180,NEW HAMPSHIRE TOTAL,902,628,571,180,NEW HAMPSHIRE TOTAL,991,629,485,180,NEW HAMPSHIRE TOTAL,982,716,677,180,NEW_HAMPSHIRE TOTAL,1015,687,477,180,NEW_HAMPSHIRE TOTAL,1015,756,708,180,NEW HAMPSHIRE TOTAL,1024,666,470,180,NEW HAMPSHIRE TOTAL,1028,752,688,180,NEW HAMPSHIRE TOTAL,1047,694,509,180,NEW HAMPSHIRE TOTAL,1044,763,698,180,NEW HAMPSHIRE TOTAL,1080,726,576,180,NEW HAMPSHIRE TOTAL,1101,843,797
181,MALE,412,271,170,181,MALE,405,289,249,181,MALE,422,274,170,181,MALE,442,301,271,181,MALE,477,293,229,181,MALE,479,341,320,181,MALE,492,326,229,181,MALE,493,360,337,181,MALE,498,327,234,181,MALE,503,353,322,181,MALE,512,331,246,181,MALE,509,359,327,181,MALE,530,359,280,181,MALE,542,401,375
182,FEMALE,420,269,177,182,FEMALE,457,329,269,182,FEMALE,452,290,187,182,FEMALE,461,327,300,182,FEMALE,514,336,256,182,FEMALE,503,375,358,182,FEMALE,523,361,248,182,FEMALE,522,396,371,182,FEMALE,526,339,236,182,FEMALE,525,398,366,182,FEMALE,535,363,263,182,FEMALE,535,404,371,182,FEMALE,550,367,296,182,FEMALE,559,442,423
183,WHITE,817,533,344,183,WHITE,849,611,512,183,HISPANIC ORIGIN,15,3,2,183,WHITE,862,610,555,183,WHITE,947,615,474,183,WHITE,943,699,663,183,WHITE,964,667,463,183,WHITE,974,737,691,183,WHITE,976,647,456,183,WHITE,980,730,670,183,WHITE,996,669,490,183,WHITE,990,740,677,183,WHITE,1002,698,556,183,WHITE,1030,813,771
184,BLACK,3,0,0,184,BLACK,7,3,3,184,WHITE,852,553,351,184,BLACK,13,10,9,184,BLACK,3,1,,184,BLACK,6,2,1,184,BLACK,10,4,3,184,BLACK,9,4,4,184,BLACK,12,5,4,184,BLACK,12,7,6,184,BLACK,15,7,4,184,BLACK,11,5,5,184,BLACK,16,2,2,184,BLACK,20,4,4
185,HISPANIC ORIGIN,13,1,1,185,HISPANIC ORIGIN,4,3,3,185,BLACK,6,1,1,185,HISPANIC ORIGIN,14,4,4,185,HISPANIC ORIGIN,13,6,6,185,HISPANIC ORIGIN,11,5,5,185,HISPANIC ORIGIN,15,6,2,185,HISPANIC ORIGIN,18,11,8,185,HISPANIC ORIGIN,12,5,3,185,HISPANIC ORIGIN,29,15,15,185,HISPANIC ORIGIN,23,15,10,185,HISPANIC ORIGIN,19,9,7,185,HISPANIC ORIGIN,42,18,14,185,HISPANIC ORIGIN,38,19,14
186,NEW JERSEY TOTAL,5918,3698,2426,186,NEW JERSEY TOTAL,5944,3765,3251,186,NEW JERSEY TOTAL,6059,3638,2152,186,NEW JERSEY TOTAL,6109,3859,3374,186,NEW JERSEY TOTAL,6669,3802,2504,186,NEW JERSEY TOTAL,6413,4085,3693,186,NEW_JERSEY TOTAL,6488,3487,2406,186,NEW_JERSEY TOTAL,6489,4022,3637,186,NEW JERSEY TOTAL,6581,3656,2383,186,NEW JERSEY TOTAL,6730,4326,3670,186,NEW JERSEY TOTAL,6820,3919,2151,186,NEW JERSEY TOTAL,6862,4165,3665,186,NEW JERSEY TOTAL,7009,4297,3384,186,NEW JERSEY TOTAL,6801,5008,4638
187,MALE,2817,1767,1161,187,MALE,2865,1784,1556,187,MALE,2877,1655,1038,187,MALE,2919,1820,1602,187,MALE,3252,1761,1178,187,MALE,3052,1852,1676,187,MALE,3114,1600,1121,187,MALE,3124,1913,1708,187,MALE,3169,1712,1090,187,MALE,3215,1982,1676,187,MALE,3277,1808,969,187,MALE,3282,1911,1668,187,MALE,3348,2046,1577,187,MALE,3281,2366,2193
188,FEMALE,3101,1931,1266,188,FEMALE,3079,1981,1696,188,FEMALE,3182,1984,1114,188,FEMALE,3190,2039,1772,188,FEMALE,3417,2041,1325,188,FEMALE,3361,2233,2017,188,FEMALE,3374,1887,1285,188,FEMALE,3365,2109,1929,188,FEMALE,3412,1944,1293,188,FEMALE,3514,2344,1994,188,FEMALE,3543,2112,1182,188,FEMALE,3580,2255,1997,188,FEMALE,3660,2251,1808,188,FEMALE,3520,2642,2445
189,WHITE,4839,3202,2152,189,WHITE,4876,3216,2783,189,HISPANIC ORIGIN,630,265,148,189,WHITE,5033,3346,2926,189,WHITE,5461,3266,2148,189,WHITE,5174,3410,3086,189,WHITE,5025,2927,2037,189,WHITE,4991,3233,2912,189,WHITE,5115,2921,1890,189,WHITE,5173,3448,2907,189,WHITE,5146,3161,1771,189,WHITE,5237,3349,2961,189,WHITE,5227,3349,2678,189,WHITE,4900,3826,3543
190,BLACK,776,412,228,190,BLACK,766,480,412,190,WHITE,4932,3091,1785,190,BLACK,787,422,369,190,BLACK,801,429,287,190,BLACK,845,523,462,190,BLACK,855,359,267,190,BLACK,846,513,475,190,BLACK,889,555,390,190,BLACK,907,586,540,190,BLACK,953,496,276,190,BLACK,964,550,469,190,BLACK,1013,611,472,190,BLACK,994,658,606
191,HISPANIC ORIGIN,546,187,98,191,HISPANIC ORIGIN,670,284,248,191,BLACK,886,480,328,191,HISPANIC ORIGIN,583,212,179,191,HISPANIC ORIGIN,927,251,157,191,HISPANIC ORIGIN,906,331,277,191,HISPANIC ORIGIN,960,258,165,191,HISPANIC ORIGIN,1006,388,337,191,HISPANIC ORIGIN,1136,284,177,191,HISPANIC ORIGIN,1170,468,395,191,HISPANIC ORIGIN,1229,497,274,191,HISPANIC ORIGIN,1379,486,395,191,HISPANIC ORIGIN,1259,578,471,191,HISPANIC ORIGIN,1347,817,719
192,NEW MEXICO TOTAL,1175,695,552,192,NEW MEXICO TOTAL,1213,749,627,192,NEW MEXICO TOTAL,1253,756,604,192,NEW MEXICO TOTAL,1261,750,647,192,NEW MEXICO TOTAL,1318,727,547,192,NEW MEXICO TOTAL,1375,936,837,192,NEW_MEXICO TOTAL,1436,951,731,192,NEW_MEXICO TOTAL,1473,937,846,192,NEW MEXICO TOTAL,1489,746,579,192,NEW MEXICO TOTAL,1553,978,878,192,NEW MEXICO TOTAL,1536,919,646,192,NEW MEXICO TOTAL,1547,916,765,192,NEW MEXICO TOTAL,1576,916,715,192,NEW MEXICO TOTAL,1610,1028,938
193,MALE,566,335,274,193,MALE,590,349,286,193,MALE,615,359,289,193,MALE,591,332,286,193,MALE,643,351,268,193,MALE,658,436,392,193,MALE,688,450,343,193,MALE,720,445,395,193,MALE,725,336,271,193,MALE,754,450,404,193,MALE,739,433,304,193,MALE,749,416,342,193,MALE,761,422,327,193,MALE,784,495,450
194,FEMALE,609,360,278,194,FEMALE,623,400,341,194,FEMALE,638,397,315,194,FEMALE,670,419,361,194,FEMALE,675,375,279,194,FEMALE,717,501,445,194,FEMALE,748,500,387,194,FEMALE,753,491,451,194,FEMALE,764,409,308,194,FEMALE,799,528,474,194,FEMALE,797,486,342,194,FEMALE,798,500,423,194,FEMALE,815,493,387,194,FEMALE,826,533,488
195,WHITE,1059,632,509,195,WHITE,1088,682,580,195,HISPANIC ORIGIN,535,276,210,195,WHITE,1064,670,581,195,WHITE,1132,638,480,195,WHITE,1151,792,715,195,WHITE,1231,827,641,195,WHITE,1287,833,748,195,WHITE,1215,638,499,195,WHITE,1310,875,789,195,WHITE,1234,753,546,195,WHITE,1183,722,620,195,WHITE,1251,764,616,195,WHITE,1340,881,812
196,BLACK,13,9,4,196,BLACK,14,11,10,196,WHITE,1099,662,523,196,BLACK,36,18,9,196,BLACK,38,25,18,196,BLACK,34,23,23,196,BLACK,36,18,10,196,BLACK,32,22,20,196,BLACK,44,4,,196,BLACK,43,24,24,196,BLACK,40,28,8,196,BLACK,42,26,22,196,BLACK,30,15,9,196,BLACK,34,24,21
197,HISPANIC ORIGIN,399,189,145,197,HISPANIC ORIGIN,476,252,206,197,BLACK,16,9,3,197,HISPANIC ORIGIN,484,239,191,197,HISPANIC ORIGIN,551,274,195,197,HISPANIC ORIGIN,544,316,276,197,HISPANIC ORIGIN,519,289,233,197,HISPANIC ORIGIN,640,346,289,197,HISPANIC ORIGIN,610,249,183,197,HISPANIC ORIGIN,624,349,306,197,HISPANIC ORIGIN,601,302,179,197,HISPANIC ORIGIN,705,340,276,197,HISPANIC ORIGIN,666,322,242,197,HISPANIC ORIGIN,636,323,290
198,NEW YORK TOTAL,13599,7848,6158,198,NEW YORK TOTAL,13408,8176,6830,198,NEW YORK TOTAL,13440,7656,5568,198,NEW YORK TOTAL,13725,8047,7004,198,NEW YORK TOTAL,14206,8261,5417,198,NEW YORK TOTAL,14492,8624,7698,198,NEW_YORK TOTAL,14376,8143,5402,198,NEW_YORK TOTAL,14665,8458,7559,198,NEW YORK TOTAL,14974,8395,5746,198,NEW YORK TOTAL,15066,8887,7675,198,NEW YORK TOTAL,15274,8078,4680,198,NEW YORK TOTAL,15506,9142,7869,198,NEW YORK TOTAL,15478,8553,6775,198,NEW YORK TOTAL,15105,9370,8609
199,MALE,6379,3627,2861,199,MALE,6191,3644,3058,199,MALE,6487,3581,2635,199,MALE,6613,3710,3251,199,MALE,6688,3725,2515,199,MALE,6865,3965,3561,199,MALE,6832,3789,2495,199,MALE,6999,3912,3471,199,MALE,7136,3883,2699,199,MALE,7151,4084,3503,199,MALE,7294,3679,2131,199,MALE,7389,4225,3592,199,MALE,7364,3934,3081,199,MALE,7164,4309,3936
200,FEMALE,7221,4221,3297,200,FEMALE,7218,4533,3772,200,FEMALE,6953,4075,2934,200,FEMALE,7112,4337,3753,200,FEMALE,7518,4536,2902,200,FEMALE,7627,4659,4137,200,FEMALE,7544,4354,2908,200,FEMALE,7666,4546,4089,200,FEMALE,7837,4512,3046,200,FEMALE,7916,4803,4172,200,FEMALE,7980,4399,2548,200,FEMALE,8116,4917,4277,200,FEMALE,8113,4619,3694,200,FEMALE,7941,5061,4673
201,WHITE,11083,6843,5418,201,WHITE,10474,6816,5768,201,HISPANIC ORIGIN,1984,699,465,201,WHITE,10602,6696,5845,201,WHITE,10901,6816,4529,201,WHITE,11055,7090,6366,201,WHITE,10793,6602,4397,201,WHITE,10972,6941,6166,201,WHITE,11336,6797,4721,201,WHITE,10925,6837,5781,201,WHITE,11147,6185,3683,201,WHITE,11101,6997,6049,201,WHITE,11157,6474,5129,201,WHITE,10551,6933,6443
202,BLACK,1840,845,639,202,BLACK,2218,1164,940,202,WHITE,10598,6498,4745,202,BLACK,2181,1133,996,202,BLACK,2312,1165,752,202,BLACK,2354,1188,1042,202,BLACK,2292,1083,742,202,BLACK,2350,1143,1075,202,BLACK,2478,1306,892,202,BLACK,2482,1542,1456,202,BLACK,2581,1385,762,202,BLACK,2610,1570,1350,202,BLACK,2570,1410,1182,202,BLACK,2554,1598,1459
203,HISPANIC ORIGIN,1529,476,303,203,HISPANIC ORIGIN,1794,679,513,203,BLACK,2082,1006,720,203,HISPANIC ORIGIN,1706,603,502,203,HISPANIC ORIGIN,1898,674,370,203,HISPANIC ORIGIN,1976,754,613,203,HISPANIC ORIGIN,2054,682,390,203,HISPANIC ORIGIN,2042,836,743,203,HISPANIC ORIGIN,2389,830,516,203,HISPANIC ORIGIN,2363,983,835,203,HISPANIC ORIGIN,2394,995,502,203,HISPANIC ORIGIN,2346,1044,878,203,HISPANIC ORIGIN,2604,963,731,203,HISPANIC ORIGIN,2330,991,883
204,NORTH CAROLINA TOTAL,5211,3173,1864,204,NORTH CAROLINA TOTAL,5364,3673,2897,204,NORTH CAROLINA TOTAL,5536,3468,2180,204,NORTH CAROLINA TOTAL,5629,3720,2995,204,NORTH CAROLINA TOTAL,5978,3662,2537,204,NORTH CAROLINA TOTAL,6250,4292,3639,204,NORTH_CAROLINA TOTAL,6490,4160,2422,204,NORTH_CAROLINA TOTAL,6845,4902,4370,204,NORTH CAROLINA TOTAL,6998,4455,3009,204,NORTH CAROLINA TOTAL,7265,5295,4624,204,NORTH CAROLINA TOTAL,7412,4779,3170,204,NORTH CAROLINA TOTAL,7631,5194,4700,204,NORTH CAROLINA TOTAL,7911,5160,3899,204,NORTH CAROLINA TOTAL,8113,5161,4780
205,MALE,2460,1452,891,205,MALE,2553,1741,1352,205,MALE,2664,1620,1044,205,MALE,2626,1693,1361,205,MALE,2829,1680,1183,205,MALE,2979,1958,1626,205,MALE,3117,1890,1180,205,MALE,3249,2231,2006,205,MALE,3320,2045,1378,205,MALE,3439,2401,2103,205,MALE,3510,2178,1428,205,MALE,3596,2414,2181,205,MALE,3748,2384,1822,205,MALE,3854,2377,2185
206,FEMALE,2751,1721,974,206,FEMALE,2811,1932,1544,206,FEMALE,2872,1848,1136,206,FEMALE,3003,2026,1633,206,FEMALE,3150,1982,1354,206,FEMALE,3271,2334,2013,206,FEMALE,3373,2270,1242,206,FEMALE,3595,2671,2364,206,FEMALE,3678,2410,1631,206,FEMALE,3826,2894,2521,206,FEMALE,3902,2601,1742,206,FEMALE,4034,2780,2519,206,FEMALE,4163,2776,2077,206,FEMALE,4259,2783,2595
207,WHITE,3901,2496,1499,207,WHITE,4165,2930,2351,207,HISPANIC ORIGIN,112,14,3,207,WHITE,4143,2812,2317,207,WHITE,4569,2883,1989,207,WHITE,4709,3268,2736,207,WHITE,4980,3281,1994,207,WHITE,5158,3782,3331,207,WHITE,5164,3344,2279,207,WHITE,5453,3848,3276,207,WHITE,5415,3545,2325,207,WHITE,5480,3776,3412,207,WHITE,5775,3830,2903,207,WHITE,5775,3638,3379
208,BLACK,1222,649,346,208,BLACK,1007,660,490,208,WHITE,4081,2677,1654,208,BLACK,1315,827,626,208,BLACK,1178,686,497,208,BLACK,1241,874,784,208,BLACK,1284,785,408,208,BLACK,1368,971,919,208,BLACK,1438,871,582,208,BLACK,1529,1279,1203,208,BLACK,1572,1040,735,208,BLACK,1625,1191,1094,208,BLACK,1685,1110,852,208,BLACK,1752,1166,1083
209,HISPANIC ORIGIN,83,19,8,209,HISPANIC ORIGIN,135,13,10,209,BLACK,1276,732,487,209,HISPANIC ORIGIN,255,31,22,209,HISPANIC ORIGIN,268,33,22,209,HISPANIC ORIGIN,327,44,27,209,HISPANIC ORIGIN,418,32,9,209,HISPANIC ORIGIN,374,83,77,209,HISPANIC ORIGIN,469,105,80,209,HISPANIC ORIGIN,603,115,95,209,HISPANIC ORIGIN,602,107,53,209,HISPANIC ORIGIN,804,208,186,209,HISPANIC ORIGIN,588,131,104,209,HISPANIC ORIGIN,989,267,240
